Shift,Begin,End
2019-11-08-1,2019-11-08 12:17:51.500,2019-11-08 12:20:14.750
2019-11-08-1,2019-11-08 12:20:14.750,2019-11-08 12:22:27.250
2019-11-08-1,2019-11-08 12:22:27.250,2019-11-08 12:24:21.500
2019-11-08-1,2019-11-08 12:24:21.500,2019-11-08 12:26:32.250
2019-11-08-1,2019-11-08 12:26:32.250,2019-11-08 12:28:34.250
2019-11-08-1,2019-11-08 12:48:17.000,2019-11-08 12:50:53.000
2019-11-08-1,2019-11-08 12:50:53.000,2019-11-08 12:52:43.000
2019-11-08-1,2019-11-08 12:52:43.000,2019-11-08 12:55:14.000
2019-11-08-1,2019-11-08 12:55:14.000,2019-11-08 12:58:36.750
2019-11-08-1,2019-11-08 12:58:36.750,2019-11-08 13:00:05.750
2019-11-08-1,2019-11-08 13:00:05.750,2019-11-08 13:01:26.250
2019-11-08-1,2019-11-08 13:01:26.250,2019-11-08 13:02:19.750
2019-11-08-1,2019-11-08 13:02:19.750,2019-11-08 13:07:18.500
2019-11-08-1,2019-11-08 13:07:18.500,2019-11-08 13:09:20.500
2019-11-08-1,2019-11-08 13:09:20.500,2019-11-08 13:11:52.000
2019-11-08-1,2019-11-08 13:11:52.000,2019-11-08 13:14:30.250
2019-11-08-1,2019-11-08 13:14:30.250,2019-11-08 13:17:01.750
2019-11-08-1,2019-11-08 13:17:01.750,2019-11-08 13:19:19.500
2019-11-08-1,2019-11-08 13:49:22.750,2019-11-08 13:53:47.500
2019-11-08-1,2019-11-08 13:53:47.500,2019-11-08 13:58:31.000
2019-11-08-1,2019-11-08 13:58:31.000,2019-11-08 14:05:40.750
2019-11-08-1,2019-11-08 14:05:40.750,2019-11-08 14:11:35.000
2019-11-08-1,2019-11-08 14:11:35.000,2019-11-08 14:15:39.750
2019-11-08-1,2019-11-08 14:15:39.750,2019-11-08 14:18:06.750
2019-11-08-1,2019-11-08 14:18:06.750,2019-11-08 14:22:35.500
2019-11-08-1,2019-11-08 14:22:35.500,2019-11-08 14:23:29.750
2019-11-08-1,2019-11-08 14:23:29.750,2019-11-08 14:29:04.750
2019-11-08-1,2019-11-08 14:32:34.500,2019-11-08 14:33:50.500
2019-11-08-1,2019-11-08 14:33:50.500,2019-11-08 14:35:06.750
2019-11-08-2,2019-11-08 17:17:55.750,2019-11-08 17:22:56.000
2019-11-08-2,2019-11-08 17:22:56.000,2019-11-08 17:23:47.000
2019-11-08-2,2019-11-08 17:23:47.000,2019-11-08 17:26:00.250
2019-11-08-2,2019-11-08 17:26:00.250,2019-11-08 17:27:58.750
2019-11-08-2,2019-11-08 17:27:58.750,2019-11-08 17:30:46.250
2019-11-08-2,2019-11-08 17:30:46.250,2019-11-08 17:31:42.750
2019-11-08-2,2019-11-08 17:31:42.750,2019-11-08 17:33:18.000
2019-11-08-2,2019-11-08 17:33:18.000,2019-11-08 17:35:38.500
2019-11-08-2,2019-11-08 17:38:16.500,2019-11-08 17:39:10.250
2019-11-08-2,2019-11-08 17:39:10.250,2019-11-08 17:40:55.750
2019-11-08-2,2019-11-08 17:40:55.750,2019-11-08 17:43:27.000
2019-11-08-2,2019-11-08 17:43:27.000,2019-11-08 17:44:19.000
2019-11-08-2,2019-11-08 17:44:19.000,2019-11-08 17:46:05.750
2019-11-08-2,2019-11-08 17:46:05.750,2019-11-08 17:47:44.500
2019-11-08-2,2019-11-08 17:47:44.500,2019-11-08 17:48:26.250
2019-11-08-2,2019-11-08 17:48:26.250,2019-11-08 17:51:36.500
2019-11-08-2,2019-11-08 17:51:36.500,2019-11-08 17:53:01.000
2019-11-08-2,2019-11-08 17:53:01.000,2019-11-08 17:53:43.500
2019-11-08-2,2019-11-08 17:56:35.250,2019-11-08 17:57:17.000
2019-11-08-2,2019-11-08 17:57:17.000,2019-11-08 17:59:32.000
2019-11-08-2,2019-11-08 17:59:32.000,2019-11-08 18:03:04.250
2019-11-08-2,2019-11-08 18:03:04.250,2019-11-08 18:04:00.750
2019-11-08-2,2019-11-08 18:04:00.750,2019-11-08 18:04:44.750
2019-11-08-2,2019-11-08 18:04:44.750,2019-11-08 18:05:43.250
2019-11-08-2,2019-11-08 18:12:46.500,2019-11-08 18:13:34.750
2019-11-08-2,2019-11-08 18:13:34.750,2019-11-08 18:15:33.000
2019-11-08-2,2019-11-08 18:15:33.000,2019-11-08 18:16:33.500
2019-11-08-2,2019-11-08 18:16:33.500,2019-11-08 18:17:39.250
2019-11-08-2,2019-11-08 18:17:39.250,2019-11-08 18:20:48.000
2019-11-08-2,2019-11-08 18:20:48.000,2019-11-08 18:23:22.250
2019-11-08-2,2019-11-08 18:23:22.250,2019-11-08 18:26:03.750
2019-11-08-2,2019-11-08 18:26:03.750,2019-11-08 18:28:52.250
2019-11-08-2,2019-11-08 18:28:52.250,2019-11-08 18:31:03.000
2019-11-08-2,2019-11-08 18:31:03.000,2019-11-08 18:31:49.750
2019-11-08-2,2019-11-08 18:31:49.750,2019-11-08 18:34:21.750
2019-11-08-2,2019-11-08 18:34:21.750,2019-11-08 18:37:21.250
2019-11-08-2,2019-11-08 18:37:21.250,2019-11-08 18:39:03.500
2019-11-08-2,2019-11-08 18:39:03.500,2019-11-08 18:39:37.250
2019-11-08-2,2019-11-08 18:39:37.250,2019-11-08 18:40:49.250
2019-11-08-2,2019-11-08 18:40:49.250,2019-11-08 18:44:22.250
2019-11-08-2,2019-11-08 18:44:22.250,2019-11-08 18:46:50.000
2019-11-08-2,2019-11-08 18:46:50.000,2019-11-08 18:48:18.000
2019-11-08-2,2019-11-08 18:48:18.000,2019-11-08 18:50:36.250
2019-11-08-2,2019-11-08 18:50:36.250,2019-11-08 18:51:42.500
2019-11-08-2,2019-11-08 18:51:42.500,2019-11-08 18:53:49.250
2019-11-08-2,2019-11-08 18:53:49.250,2019-11-08 18:55:00.000
2019-11-08-2,2019-11-08 18:55:00.000,2019-11-08 19:00:06.000
2019-11-08-2,2019-11-08 19:00:06.000,2019-11-08 19:01:48.000
2019-11-08-2,2019-11-08 19:01:48.000,2019-11-08 19:03:09.250
2019-11-08-2,2019-11-08 19:03:09.250,2019-11-08 19:04:28.250
2019-11-08-2,2019-11-08 19:09:03.000,2019-11-08 19:13:06.250
2019-11-08-2,2019-11-08 19:48:36.500,2019-11-08 19:49:18.000
2019-11-08-2,2019-11-08 19:49:18.000,2019-11-08 19:51:52.750
2019-11-08-2,2019-11-08 19:51:52.750,2019-11-08 19:53:44.250
2019-11-08-2,2019-11-08 19:56:32.750,2019-11-08 19:57:12.750
2019-11-08-2,2019-11-08 20:11:51.000,2019-11-08 20:11:53.000
2019-11-08-2,2019-11-08 20:11:57.500,2019-11-08 20:11:57.500
2019-11-08-2,2019-11-08 20:11:58.500,2019-11-08 20:11:58.500
2019-11-08-2,2019-11-08 20:11:59.000,2019-11-08 20:11:59.000
2019-11-08-2,2019-11-08 20:11:59.750,2019-11-08 20:12:00.250
2019-11-08-2,2019-11-08 20:12:01.000,2019-11-08 20:12:01.000
2019-11-08-2,2019-11-08 20:12:01.750,2019-11-08 20:12:01.750
2019-11-08-2,2019-11-08 20:12:02.250,2019-11-08 20:12:13.500
2019-11-08-2,2019-11-08 20:12:13.500,2019-11-08 20:14:20.000
2019-11-08-2,2019-11-08 20:14:20.000,2019-11-08 20:17:36.000
2019-11-08-2,2019-11-08 20:17:36.000,2019-11-08 20:18:37.500
2019-11-08-2,2019-11-08 20:18:37.500,2019-11-08 20:20:14.250
2019-11-08-2,2019-11-08 20:20:14.250,2019-11-08 20:20:54.500
2019-11-08-2,2019-11-08 20:40:05.750,2019-11-08 20:44:10.500
2019-11-08-2,2019-11-08 20:44:10.500,2019-11-08 20:46:37.500
2019-11-08-2,2019-11-08 20:46:37.500,2019-11-08 20:48:28.000
2019-11-08-2,2019-11-08 20:52:48.750,2019-11-08 20:53:44.000
2019-11-08-2,2019-11-08 20:56:15.000,2019-11-08 20:58:50.750
2019-11-08-2,2019-11-08 20:58:50.750,2019-11-08 20:59:33.250
2019-11-08-2,2019-11-08 20:59:33.250,2019-11-08 21:00:17.500
2019-11-08-2,2019-11-08 21:00:17.500,2019-11-08 21:02:48.250
2019-11-08-2,2019-11-08 21:02:48.250,2019-11-08 21:04:33.250
2019-11-08-2,2019-11-08 21:04:33.250,2019-11-08 21:05:49.750
2019-11-08-2,2019-11-08 21:05:49.750,2019-11-08 21:06:45.500
2019-11-08-2,2019-11-08 21:06:45.500,2019-11-08 21:09:34.000
2019-11-08-2,2019-11-08 21:09:34.000,2019-11-08 21:10:09.500
2019-11-08-2,2019-11-08 21:15:47.000,2019-11-08 21:21:17.500
2019-11-08-2,2019-11-08 21:21:17.500,2019-11-08 21:24:58.500
2019-11-08-2,2019-11-08 21:24:58.500,2019-11-08 21:25:53.250
2019-11-08-2,2019-11-08 21:25:53.250,2019-11-08 21:27:47.250
2019-11-08-2,2019-11-08 21:27:47.250,2019-11-08 21:28:27.250
2019-11-08-2,2019-11-08 21:28:27.250,2019-11-08 21:30:48.750
2019-11-08-2,2019-11-08 21:30:48.750,2019-11-08 21:34:01.750
2019-11-08-2,2019-11-08 21:42:53.750,2019-11-08 21:43:22.250
2019-11-08-2,2019-11-08 21:43:22.250,2019-11-08 21:44:12.000
2019-11-08-2,2019-11-08 21:44:12.000,2019-11-08 21:46:13.500
2019-11-08-2,2019-11-08 21:46:13.500,2019-11-08 21:49:52.250
2019-11-08-2,2019-11-08 21:49:52.250,2019-11-08 21:50:50.250
2019-11-08-2,2019-11-08 21:50:50.250,2019-11-08 21:52:35.750
2019-11-08-2,2019-11-08 21:52:35.750,2019-11-08 21:53:19.500
2019-11-08-2,2019-11-08 21:53:19.500,2019-11-08 21:56:28.000
2019-11-08-2,2019-11-08 21:56:28.000,2019-11-08 21:57:50.750
2019-11-08-2,2019-11-08 21:57:50.750,2019-11-08 22:00:09.250
2019-11-08-2,2019-11-08 22:00:09.250,2019-11-08 22:05:03.500
2019-11-08-2,2019-11-08 22:05:03.500,2019-11-08 22:06:37.250
2019-11-08-2,2019-11-08 22:06:37.250,2019-11-08 22:08:10.750
2019-11-08-2,2019-11-08 22:12:40.250,2019-11-08 22:13:41.500
2019-11-08-2,2019-11-08 22:13:41.500,2019-11-08 22:14:18.250
2019-11-08-2,2019-11-08 22:14:18.250,2019-11-08 22:16:51.000
2019-11-08-2,2019-11-08 22:16:51.000,2019-11-08 22:20:17.750
2019-11-08-2,2019-11-08 22:20:17.750,2019-11-08 22:20:52.250
2019-11-08-2,2019-11-08 22:20:52.250,2019-11-08 22:21:27.500
2019-11-08-2,2019-11-08 22:21:27.500,2019-11-08 22:22:45.250
2019-11-08-2,2019-11-08 22:22:45.250,2019-11-08 22:25:05.500
2019-11-08-2,2019-11-08 22:25:05.500,2019-11-08 22:27:29.000
2019-11-08-2,2019-11-08 22:27:29.000,2019-11-08 22:28:27.500
2019-11-08-2,2019-11-08 22:28:27.500,2019-11-08 22:31:37.250
2019-11-08-2,2019-11-08 22:31:37.250,2019-11-08 22:32:03.500
2019-11-08-2,2019-11-08 22:32:03.500,2019-11-08 22:34:07.750
2019-11-08-2,2019-11-08 22:34:07.750,2019-11-08 22:35:21.250
2019-11-08-2,2019-11-08 22:35:21.250,2019-11-08 22:36:15.750
2019-11-08-2,2019-11-08 22:36:15.750,2019-11-08 22:37:47.500
2019-11-08-2,2019-11-08 22:37:47.500,2019-11-08 22:38:53.250
2019-11-08-2,2019-11-08 22:38:53.250,2019-11-08 22:40:57.500
2019-11-08-2,2019-11-08 22:40:57.500,2019-11-08 22:42:10.500
2019-11-08-2,2019-11-08 22:42:10.500,2019-11-08 22:45:25.000
2019-11-08-2,2019-11-08 22:45:25.000,2019-11-08 22:46:53.750
2019-11-08-2,2019-11-08 22:46:53.750,2019-11-08 22:47:41.750
2019-11-08-2,2019-11-08 23:06:33.750,2019-11-08 23:10:03.750
2019-11-08-2,2019-11-08 23:10:03.750,2019-11-08 23:12:22.000
2019-11-08-2,2019-11-08 23:12:22.000,2019-11-08 23:13:10.750
2019-11-08-2,2019-11-08 23:13:10.750,2019-11-08 23:15:23.000
2019-11-08-2,2019-11-08 23:15:23.000,2019-11-08 23:16:47.500
2019-11-08-2,2019-11-08 23:16:47.500,2019-11-08 23:18:44.750
2019-11-08-2,2019-11-08 23:20:52.500,2019-11-08 23:23:11.250
2019-11-08-2,2019-11-08 23:58:14.250,2019-11-09 00:01:11.500
2019-11-08-2,2019-11-09 00:01:11.500,2019-11-09 00:01:41.500
2019-11-08-2,2019-11-09 00:07:06.250,2019-11-09 00:10:47.000
2019-11-08-2,2019-11-09 00:10:47.000,2019-11-09 00:11:42.250
2019-11-08-2,2019-11-09 00:13:54.250,2019-11-09 00:18:33.000
2019-11-08-2,2019-11-09 00:18:33.000,2019-11-09 00:20:51.750
2019-11-08-2,2019-11-09 00:20:51.750,2019-11-09 00:23:04.500
2019-11-08-2,2019-11-09 00:23:04.500,2019-11-09 00:25:33.750
2019-11-08-2,2019-11-09 00:25:33.750,2019-11-09 00:26:53.000
2019-11-08-2,2019-11-09 00:26:53.000,2019-11-09 00:28:36.500
2019-11-08-2,2019-11-09 00:28:36.500,2019-11-09 00:30:20.250
2019-11-08-2,2019-11-09 00:33:18.500,2019-11-09 00:35:11.000
2019-11-08-2,2019-11-09 00:35:11.000,2019-11-09 00:35:54.250
2019-11-08-2,2019-11-09 00:38:35.250,2019-11-09 00:39:28.500
2019-11-08-2,2019-11-09 00:39:28.500,2019-11-09 00:41:03.750
2019-11-08-2,2019-11-09 00:41:03.750,2019-11-09 00:43:47.250
2019-11-08-2,2019-11-09 00:43:47.250,2019-11-09 00:45:56.000
2019-11-08-2,2019-11-09 00:45:56.000,2019-11-09 00:47:41.000
2019-11-08-2,2019-11-09 00:47:41.000,2019-11-09 00:48:28.500
2019-11-08-2,2019-11-09 00:48:28.500,2019-11-09 00:50:22.750
2019-11-08-2,2019-11-09 00:50:22.750,2019-11-09 00:51:35.250
2019-11-09-1,2019-11-09 07:49:32.500,2019-11-09 07:51:02.000
2019-11-09-1,2019-11-09 08:36:51.750,2019-11-09 08:36:52.500
2019-11-09-1,2019-11-09 08:37:49.750,2019-11-09 08:37:52.000
2019-11-09-1,2019-11-09 08:37:56.250,2019-11-09 08:37:58.000
2019-11-09-1,2019-11-09 08:39:07.750,2019-11-09 08:39:08.000
2019-11-09-1,2019-11-09 08:39:10.500,2019-11-09 08:39:12.250
2019-11-09-1,2019-11-09 08:39:17.250,2019-11-09 08:40:33.250
2019-11-09-1,2019-11-09 08:40:33.250,2019-11-09 08:41:13.000
2019-11-09-1,2019-11-09 08:41:13.000,2019-11-09 08:42:17.000
2019-11-09-1,2019-11-09 08:42:17.000,2019-11-09 08:43:22.000
2019-11-09-1,2019-11-09 08:43:22.000,2019-11-09 08:44:13.500
2019-11-09-1,2019-11-09 08:44:13.500,2019-11-09 08:47:19.250
2019-11-09-1,2019-11-09 08:47:19.250,2019-11-09 08:48:03.500
2019-11-09-1,2019-11-09 08:48:03.500,2019-11-09 08:49:03.250
2019-11-09-1,2019-11-09 08:49:03.250,2019-11-09 08:50:55.750
2019-11-09-1,2019-11-09 08:50:55.750,2019-11-09 08:53:18.750
2019-11-09-1,2019-11-09 08:53:18.750,2019-11-09 08:56:44.000
2019-11-09-1,2019-11-09 08:56:44.000,2019-11-09 08:59:10.000
2019-11-09-1,2019-11-09 08:59:10.000,2019-11-09 09:00:03.750
2019-11-09-1,2019-11-09 09:00:03.750,2019-11-09 09:02:21.250
2019-11-09-1,2019-11-09 09:02:21.250,2019-11-09 09:04:42.750
2019-11-09-1,2019-11-09 09:06:48.500,2019-11-09 09:08:21.000
2019-11-09-1,2019-11-09 09:08:21.000,2019-11-09 09:10:55.250
2019-11-09-1,2019-11-09 09:10:55.250,2019-11-09 09:12:27.000
2019-11-09-1,2019-11-09 09:12:27.000,2019-11-09 09:14:19.000
2019-11-09-1,2019-11-09 09:17:07.000,2019-11-09 09:20:10.250
2019-11-09-1,2019-11-09 09:20:10.250,2019-11-09 09:21:32.250
2019-11-09-1,2019-11-09 09:21:32.250,2019-11-09 09:22:55.500
2019-11-09-1,2019-11-09 09:22:55.500,2019-11-09 09:24:52.750
2019-11-09-1,2019-11-09 09:24:52.750,2019-11-09 09:26:49.500
2019-11-09-1,2019-11-09 09:26:49.500,2019-11-09 09:27:50.000
2019-11-09-1,2019-11-09 09:27:50.000,2019-11-09 09:31:51.000
2019-11-09-1,2019-11-09 09:31:51.000,2019-11-09 09:33:16.250
2019-11-09-1,2019-11-09 09:33:16.250,2019-11-09 09:35:09.250
2019-11-09-1,2019-11-09 09:35:09.250,2019-11-09 09:37:29.000
2019-11-09-1,2019-11-09 09:37:29.000,2019-11-09 09:38:07.500
2019-11-09-1,2019-11-09 09:38:07.500,2019-11-09 09:40:20.500
2019-11-09-1,2019-11-09 09:40:20.500,2019-11-09 09:41:16.000
2019-11-09-1,2019-11-09 09:45:05.500,2019-11-09 09:47:26.500
2019-11-09-1,2019-11-09 09:47:26.500,2019-11-09 09:49:07.000
2019-11-09-1,2019-11-09 09:51:26.250,2019-11-09 09:53:19.750
2019-11-09-1,2019-11-09 09:53:19.750,2019-11-09 09:55:00.250
2019-11-09-1,2019-11-09 09:57:38.250,2019-11-09 09:58:49.000
2019-11-09-1,2019-11-09 09:58:49.000,2019-11-09 10:01:15.000
2019-11-09-1,2019-11-09 10:01:15.000,2019-11-09 10:02:41.500
2019-11-09-1,2019-11-09 10:02:41.500,2019-11-09 10:08:32.750
2019-11-09-1,2019-11-09 10:08:32.750,2019-11-09 10:11:00.500
2019-11-09-1,2019-11-09 10:11:00.500,2019-11-09 10:11:54.500
2019-11-09-1,2019-11-09 10:11:54.500,2019-11-09 10:13:27.000
2019-11-09-1,2019-11-09 10:13:27.000,2019-11-09 10:14:32.750
2019-11-09-1,2019-11-09 10:14:32.750,2019-11-09 10:19:22.000
2019-11-09-1,2019-11-09 10:19:22.000,2019-11-09 10:20:54.500
2019-11-09-1,2019-11-09 10:20:54.500,2019-11-09 10:22:17.750
2019-11-09-1,2019-11-09 10:22:17.750,2019-11-09 10:23:17.000
2019-11-09-1,2019-11-09 10:23:17.000,2019-11-09 10:30:45.500
2019-11-09-1,2019-11-09 10:30:45.500,2019-11-09 10:32:45.500
2019-11-09-1,2019-11-09 10:36:14.250,2019-11-09 10:37:29.750
2019-11-09-1,2019-11-09 10:37:29.750,2019-11-09 10:38:59.000
2019-11-09-1,2019-11-09 10:38:59.000,2019-11-09 10:44:38.500
2019-11-09-1,2019-11-09 10:44:38.500,2019-11-09 10:46:49.250
2019-11-09-1,2019-11-09 10:50:40.000,2019-11-09 10:54:12.000
2019-11-09-1,2019-11-09 10:54:12.000,2019-11-09 10:56:21.500
2019-11-09-1,2019-11-09 10:56:21.500,2019-11-09 10:58:55.750
2019-11-09-1,2019-11-09 10:58:55.750,2019-11-09 11:01:16.000
2019-11-09-1,2019-11-09 11:01:16.000,2019-11-09 11:03:39.000
2019-11-09-1,2019-11-09 11:03:39.000,2019-11-09 11:05:22.500
2019-11-09-1,2019-11-09 11:18:49.500,2019-11-09 11:23:37.750
2019-11-09-1,2019-11-09 11:23:37.750,2019-11-09 11:25:53.750
2019-11-09-1,2019-11-09 11:25:53.750,2019-11-09 11:27:50.000
2019-11-09-1,2019-11-09 11:27:50.000,2019-11-09 11:29:56.750
2019-11-09-1,2019-11-09 11:29:56.750,2019-11-09 11:32:03.250
2019-11-09-1,2019-11-09 11:32:03.250,2019-11-09 11:34:53.250
2019-11-09-1,2019-11-09 11:34:53.250,2019-11-09 11:37:22.500
2019-11-09-1,2019-11-09 11:37:22.500,2019-11-09 11:39:14.250
2019-11-09-1,2019-11-09 12:13:00.750,2019-11-09 12:15:13.750
2019-11-09-1,2019-11-09 12:15:13.750,2019-11-09 12:16:00.750
2019-11-09-1,2019-11-09 12:16:00.750,2019-11-09 12:17:21.250
2019-11-09-1,2019-11-09 12:17:21.250,2019-11-09 12:19:31.250
2019-11-09-1,2019-11-09 12:19:31.250,2019-11-09 12:22:32.000
2019-11-09-1,2019-11-09 12:22:32.000,2019-11-09 12:24:44.500
2019-11-09-1,2019-11-09 12:24:44.500,2019-11-09 12:27:30.500
2019-11-09-1,2019-11-09 12:27:30.500,2019-11-09 12:29:33.500
2019-11-09-1,2019-11-09 12:29:33.500,2019-11-09 12:32:03.250
2019-11-09-1,2019-11-09 12:32:03.250,2019-11-09 12:33:16.000
2019-11-09-1,2019-11-09 12:33:16.000,2019-11-09 12:34:25.000
2019-11-09-1,2019-11-09 12:34:25.000,2019-11-09 12:42:13.750
2019-11-09-1,2019-11-09 12:42:13.750,2019-11-09 12:42:46.000
2019-11-09-1,2019-11-09 12:42:46.000,2019-11-09 12:44:52.750
2019-11-09-1,2019-11-09 12:44:52.750,2019-11-09 12:49:07.500
2019-11-09-1,2019-11-09 12:49:07.500,2019-11-09 12:49:52.000
2019-11-09-1,2019-11-09 12:49:52.000,2019-11-09 12:51:30.750
2019-11-09-1,2019-11-09 12:51:30.750,2019-11-09 12:53:29.500
2019-11-09-1,2019-11-09 12:53:29.500,2019-11-09 12:54:05.250
2019-11-09-1,2019-11-09 12:54:05.250,2019-11-09 12:55:29.750
2019-11-09-1,2019-11-09 12:55:29.750,2019-11-09 12:58:08.250
2019-11-09-1,2019-11-09 12:58:08.250,2019-11-09 13:00:37.750
2019-11-09-1,2019-11-09 13:00:37.750,2019-11-09 13:02:39.250
2019-11-09-1,2019-11-09 13:02:39.250,2019-11-09 13:05:07.750
2019-11-09-1,2019-11-09 13:05:07.750,2019-11-09 13:09:31.000
2019-11-09-1,2019-11-09 13:09:31.000,2019-11-09 13:11:42.750
2019-11-09-1,2019-11-09 13:11:42.750,2019-11-09 13:13:12.000
2019-11-09-1,2019-11-09 15:07:39.500,2019-11-09 15:12:50.250
2019-11-09-1,2019-11-09 15:12:50.250,2019-11-09 15:14:25.000
2019-11-09-1,2019-11-09 15:16:39.750,2019-11-09 15:18:35.500
2019-11-09-1,2019-11-09 15:18:35.500,2019-11-09 15:23:24.250
2019-11-09-1,2019-11-09 15:23:24.250,2019-11-09 15:26:28.500
2019-11-09-1,2019-11-09 15:26:28.500,2019-11-09 15:29:12.500
2019-11-09-1,2019-11-09 15:29:12.500,2019-11-09 15:35:18.000
2019-11-09-1,2019-11-09 15:35:18.000,2019-11-09 15:36:16.000
2019-11-09-1,2019-11-09 15:36:16.000,2019-11-09 15:39:12.500
2019-11-09-1,2019-11-09 15:39:12.500,2019-11-09 15:40:57.250
2019-11-09-1,2019-11-09 15:40:57.250,2019-11-09 15:41:45.250
2019-11-09-1,2019-11-09 15:47:18.000,2019-11-09 15:47:18.750
2019-11-09-1,2019-11-09 15:56:05.000,2019-11-09 15:56:05.250
2019-11-09-1,2019-11-09 15:56:12.500,2019-11-09 15:56:20.500
2019-11-09-1,2019-11-09 15:56:21.500,2019-11-09 15:57:23.500
2019-11-09-1,2019-11-09 15:57:23.500,2019-11-09 15:58:01.250
2019-11-09-2,2019-11-09 17:38:12.250,2019-11-09 17:38:13.000
2019-11-09-2,2019-11-09 17:38:15.500,2019-11-09 17:38:17.250
2019-11-09-2,2019-11-09 17:38:18.750,2019-11-09 17:39:42.000
2019-11-09-2,2019-11-09 17:39:42.000,2019-11-09 17:41:53.000
2019-11-09-2,2019-11-09 17:41:53.000,2019-11-09 17:44:46.250
2019-11-09-2,2019-11-09 17:44:46.250,2019-11-09 17:47:40.250
2019-11-09-2,2019-11-09 17:47:40.250,2019-11-09 17:49:55.500
2019-11-09-2,2019-11-09 17:49:55.500,2019-11-09 17:52:15.000
2019-11-09-2,2019-11-09 17:52:15.000,2019-11-09 17:53:11.000
2019-11-09-2,2019-11-09 17:53:11.000,2019-11-09 17:54:29.750
2019-11-09-2,2019-11-09 17:54:29.750,2019-11-09 17:56:50.250
2019-11-09-2,2019-11-09 17:56:50.250,2019-11-09 17:58:59.500
2019-11-09-2,2019-11-09 17:58:59.500,2019-11-09 18:01:51.500
2019-11-09-2,2019-11-09 18:01:51.500,2019-11-09 18:02:44.750
2019-11-09-2,2019-11-09 18:02:44.750,2019-11-09 18:03:49.250
2019-11-09-2,2019-11-09 18:03:49.250,2019-11-09 18:05:06.000
2019-11-09-2,2019-11-09 18:10:11.000,2019-11-09 18:12:16.500
2019-11-09-2,2019-11-09 18:14:39.250,2019-11-09 18:15:59.500
2019-11-09-2,2019-11-09 18:15:59.500,2019-11-09 18:18:14.250
2019-11-09-2,2019-11-09 18:18:14.250,2019-11-09 18:20:37.250
2019-11-09-2,2019-11-09 18:20:37.250,2019-11-09 18:23:02.500
2019-11-09-2,2019-11-09 18:23:02.500,2019-11-09 18:32:15.500
2019-11-09-2,2019-11-09 18:32:15.500,2019-11-09 18:34:36.500
2019-11-09-2,2019-11-09 18:34:36.500,2019-11-09 18:36:45.750
2019-11-09-2,2019-11-09 18:36:45.750,2019-11-09 18:38:25.750
2019-11-09-2,2019-11-09 18:51:20.250,2019-11-09 18:55:25.250
2019-11-09-2,2019-11-09 18:55:25.250,2019-11-09 18:56:04.250
2019-11-09-2,2019-11-09 18:56:04.250,2019-11-09 18:57:36.500
2019-11-09-2,2019-11-09 18:57:36.500,2019-11-09 18:59:44.000
2019-11-09-2,2019-11-09 18:59:44.000,2019-11-09 19:00:43.500
2019-11-09-2,2019-11-09 19:00:43.500,2019-11-09 19:07:11.750
2019-11-09-2,2019-11-09 19:07:11.750,2019-11-09 19:08:44.750
2019-11-09-2,2019-11-09 19:26:55.000,2019-11-09 19:30:56.750
2019-11-09-2,2019-11-09 19:33:49.000,2019-11-09 19:37:28.500
2019-11-09-2,2019-11-09 19:47:40.250,2019-11-09 19:48:24.250
2019-11-09-2,2019-11-09 19:48:24.250,2019-11-09 19:51:04.250
2019-11-09-2,2019-11-09 19:51:04.250,2019-11-09 19:54:47.000
2019-11-09-2,2019-11-09 19:54:47.000,2019-11-09 19:55:52.000
2019-11-09-2,2019-11-09 19:55:52.000,2019-11-09 19:56:24.500
2019-11-09-2,2019-11-09 19:56:24.500,2019-11-09 19:58:07.750
2019-11-09-2,2019-11-09 19:58:07.750,2019-11-09 20:00:00.000
2019-11-09-2,2019-11-09 20:00:00.000,2019-11-09 20:02:29.750
2019-11-09-2,2019-11-09 20:02:29.750,2019-11-09 20:03:44.250
2019-11-09-2,2019-11-09 20:03:44.250,2019-11-09 20:05:50.000
2019-11-09-2,2019-11-09 20:05:50.000,2019-11-09 20:07:40.500
2019-11-09-2,2019-11-09 20:07:40.500,2019-11-09 20:08:25.000
2019-11-09-2,2019-11-09 20:08:25.000,2019-11-09 20:10:35.250
2019-11-09-2,2019-11-09 20:10:35.250,2019-11-09 20:13:03.750
2019-11-09-2,2019-11-09 20:16:41.250,2019-11-09 20:19:28.250
2019-11-09-2,2019-11-09 20:19:28.250,2019-11-09 20:21:31.500
2019-11-09-2,2019-11-09 20:21:31.500,2019-11-09 20:24:28.000
2019-11-09-2,2019-11-09 20:24:28.000,2019-11-09 20:27:03.250
2019-11-09-2,2019-11-09 20:27:03.250,2019-11-09 20:28:02.250
2019-11-09-2,2019-11-09 20:31:29.500,2019-11-09 20:34:00.750
2019-11-09-2,2019-11-09 20:34:00.750,2019-11-09 20:36:57.750
2019-11-09-2,2019-11-09 20:36:57.750,2019-11-09 20:38:13.750
2019-11-09-2,2019-11-09 20:51:21.250,2019-11-09 20:55:18.250
2019-11-09-2,2019-11-09 20:55:18.250,2019-11-09 20:56:53.250
2019-11-09-2,2019-11-09 20:59:23.000,2019-11-09 20:59:58.250
2019-11-09-2,2019-11-09 20:59:58.250,2019-11-09 21:02:21.750
2019-11-09-2,2019-11-09 21:02:21.750,2019-11-09 21:04:28.000
