Shift,Begin,End
2019-11-01-1,2019-11-01 12:05:05.250,2019-11-01 12:06:14.750
2019-11-01-1,2019-11-01 12:06:14.750,2019-11-01 12:06:49.500
2019-11-01-1,2019-11-01 12:06:49.500,2019-11-01 12:09:44.750
2019-11-01-1,2019-11-01 12:09:44.750,2019-11-01 12:13:48.250
2019-11-01-1,2019-11-01 12:13:48.250,2019-11-01 12:15:34.750
2019-11-01-1,2019-11-01 12:15:34.750,2019-11-01 12:16:44.500
2019-11-01-1,2019-11-01 12:16:44.500,2019-11-01 12:17:37.000
2019-11-01-1,2019-11-01 12:17:37.000,2019-11-01 12:20:02.500
2019-11-01-1,2019-11-01 12:24:53.500,2019-11-01 12:25:27.500
2019-11-01-1,2019-11-01 12:25:27.500,2019-11-01 12:28:47.750
2019-11-01-1,2019-11-01 12:28:47.750,2019-11-01 12:30:14.750
2019-11-01-1,2019-11-01 12:30:14.750,2019-11-01 12:32:44.750
2019-11-01-1,2019-11-01 12:32:44.750,2019-11-01 12:33:25.250
2019-11-01-1,2019-11-01 12:33:25.250,2019-11-01 12:34:36.250
2019-11-01-1,2019-11-01 12:34:36.250,2019-11-01 12:36:16.000
2019-11-01-1,2019-11-01 12:36:16.000,2019-11-01 12:38:27.750
2019-11-01-1,2019-11-01 12:38:27.750,2019-11-01 12:40:48.250
2019-11-01-1,2019-11-01 12:40:48.250,2019-11-01 12:43:08.500
2019-11-01-1,2019-11-01 12:43:08.500,2019-11-01 12:44:02.000
2019-11-01-1,2019-11-01 12:44:02.000,2019-11-01 12:45:00.000
2019-11-01-1,2019-11-01 13:18:59.000,2019-11-01 13:28:45.500
2019-11-01-1,2019-11-01 13:28:45.500,2019-11-01 13:31:21.500
2019-11-01-1,2019-11-01 13:31:21.500,2019-11-01 13:33:46.250
2019-11-01-1,2019-11-01 13:33:46.250,2019-11-01 13:35:55.250
2019-11-01-1,2019-11-01 13:35:55.250,2019-11-01 13:36:28.500
2019-11-01-1,2019-11-01 13:36:28.500,2019-11-01 13:38:04.250
2019-11-01-1,2019-11-01 13:38:04.250,2019-11-01 13:40:28.750
2019-11-01-1,2019-11-01 13:40:28.750,2019-11-01 13:42:41.500
2019-11-01-1,2019-11-01 13:42:41.500,2019-11-01 13:43:54.750
2019-11-01-1,2019-11-01 13:43:54.750,2019-11-01 13:45:28.000
2019-11-01-1,2019-11-01 13:45:28.000,2019-11-01 13:48:14.000
2019-11-01-1,2019-11-01 13:48:14.000,2019-11-01 13:50:16.250
2019-11-01-1,2019-11-01 13:50:16.250,2019-11-01 13:52:21.500
2019-11-01-1,2019-11-01 13:52:21.500,2019-11-01 13:55:07.500
2019-11-01-1,2019-11-01 13:55:07.500,2019-11-01 13:57:04.250
2019-11-01-1,2019-11-01 13:57:04.250,2019-11-01 13:58:47.250
2019-11-01-1,2019-11-01 14:03:27.750,2019-11-01 14:05:34.500
2019-11-01-1,2019-11-01 14:05:34.500,2019-11-01 14:07:45.000
2019-11-01-1,2019-11-01 14:07:45.000,2019-11-01 14:09:59.000
2019-11-01-1,2019-11-01 14:09:59.000,2019-11-01 14:12:05.500
2019-11-01-1,2019-11-01 14:12:05.500,2019-11-01 14:12:33.750
2019-11-01-1,2019-11-01 14:12:33.750,2019-11-01 14:14:04.250
2019-11-01-1,2019-11-01 14:14:04.250,2019-11-01 14:14:41.250
2019-11-01-1,2019-11-01 14:14:41.250,2019-11-01 14:16:38.000
2019-11-01-1,2019-11-01 14:16:38.000,2019-11-01 14:19:18.500
2019-11-01-1,2019-11-01 14:19:18.500,2019-11-01 14:20:03.250
2019-11-01-1,2019-11-01 14:20:03.250,2019-11-01 14:21:29.500
2019-11-01-1,2019-11-01 14:21:29.500,2019-11-01 14:24:06.250
2019-11-01-1,2019-11-01 14:24:06.250,2019-11-01 14:24:46.500
2019-11-01-1,2019-11-01 14:24:46.500,2019-11-01 14:25:12.000
2019-11-01-1,2019-11-01 14:25:12.000,2019-11-01 14:26:05.500
2019-11-01-1,2019-11-01 14:26:05.500,2019-11-01 14:26:47.250
2019-11-01-1,2019-11-01 14:35:42.250,2019-11-01 14:37:04.000
2019-11-01-1,2019-11-01 14:40:02.250,2019-11-01 14:42:16.750
2019-11-01-1,2019-11-01 14:42:16.750,2019-11-01 14:44:36.000
2019-11-01-1,2019-11-01 14:44:36.000,2019-11-01 14:48:31.000
2019-11-01-1,2019-11-01 14:48:31.000,2019-11-01 14:49:36.500
2019-11-01-2,2019-11-01 17:31:49.250,2019-11-01 17:37:14.250
2019-11-01-2,2019-11-01 17:41:37.000,2019-11-01 17:43:40.000
2019-11-01-2,2019-11-01 17:43:40.000,2019-11-01 17:46:56.750
2019-11-01-2,2019-11-01 17:46:56.750,2019-11-01 17:49:11.000
2019-11-01-2,2019-11-01 17:49:11.000,2019-11-01 17:51:21.000
2019-11-01-2,2019-11-01 17:51:21.000,2019-11-01 17:54:31.750
2019-11-01-2,2019-11-01 17:54:31.750,2019-11-01 17:56:44.250
2019-11-01-2,2019-11-01 17:56:44.250,2019-11-01 17:59:19.000
2019-11-01-2,2019-11-01 17:59:19.000,2019-11-01 18:01:55.500
2019-11-01-2,2019-11-01 18:01:55.500,2019-11-01 18:04:08.000
2019-11-01-2,2019-11-01 18:04:08.000,2019-11-01 18:06:55.000
2019-11-01-2,2019-11-01 18:06:55.000,2019-11-01 18:09:12.500
2019-11-01-2,2019-11-01 18:09:12.500,2019-11-01 18:11:51.750
2019-11-01-2,2019-11-01 18:11:51.750,2019-11-01 18:17:56.000
2019-11-01-2,2019-11-01 18:17:56.000,2019-11-01 18:20:08.750
2019-11-01-2,2019-11-01 18:20:08.750,2019-11-01 18:21:10.500
2019-11-01-2,2019-11-01 18:21:10.500,2019-11-01 18:22:36.000
2019-11-01-2,2019-11-01 18:22:36.000,2019-11-01 18:24:47.500
2019-11-01-2,2019-11-01 18:24:47.500,2019-11-01 18:27:04.000
2019-11-01-2,2019-11-01 18:27:04.000,2019-11-01 18:29:44.000
2019-11-01-2,2019-11-01 18:29:44.000,2019-11-01 18:32:01.250
2019-11-01-2,2019-11-01 18:32:01.250,2019-11-01 18:34:27.500
2019-11-01-2,2019-11-01 18:34:27.500,2019-11-01 18:35:16.000
2019-11-01-2,2019-11-01 18:35:16.000,2019-11-01 18:37:08.000
2019-11-01-2,2019-11-01 18:39:10.000,2019-11-01 18:41:57.750
2019-11-01-2,2019-11-01 18:41:57.750,2019-11-01 18:44:20.250
2019-11-01-2,2019-11-01 18:44:20.250,2019-11-01 18:46:04.750
2019-11-01-2,2019-11-01 19:20:30.250,2019-11-01 19:25:00.750
2019-11-01-2,2019-11-01 19:25:00.750,2019-11-01 19:27:27.250
2019-11-01-2,2019-11-01 19:27:27.250,2019-11-01 19:28:52.000
2019-11-01-2,2019-11-01 19:28:52.000,2019-11-01 19:30:43.000
2019-11-01-2,2019-11-01 19:30:43.000,2019-11-01 19:32:42.000
2019-11-01-2,2019-11-01 19:32:42.000,2019-11-01 19:34:59.500
2019-11-01-2,2019-11-01 19:34:59.500,2019-11-01 19:37:01.000
2019-11-01-2,2019-11-01 19:37:01.000,2019-11-01 19:41:18.000
2019-11-01-2,2019-11-01 19:41:18.000,2019-11-01 19:41:50.500
2019-11-01-2,2019-11-01 19:41:50.500,2019-11-01 19:42:51.000
2019-11-01-2,2019-11-01 19:42:51.000,2019-11-01 19:44:56.750
2019-11-01-2,2019-11-01 19:44:56.750,2019-11-01 19:47:13.250
2019-11-01-2,2019-11-01 19:47:13.250,2019-11-01 19:49:16.750
2019-11-01-2,2019-11-01 19:49:16.750,2019-11-01 19:51:16.500
2019-11-01-2,2019-11-01 19:59:06.250,2019-11-01 20:01:12.750
2019-11-01-2,2019-11-01 20:01:12.750,2019-11-01 20:02:18.750
2019-11-01-2,2019-11-01 20:02:18.750,2019-11-01 20:03:57.250
2019-11-01-2,2019-11-01 20:03:57.250,2019-11-01 20:11:03.750
2019-11-01-2,2019-11-01 20:11:03.750,2019-11-01 20:11:47.000
2019-11-01-2,2019-11-01 20:11:47.000,2019-11-01 20:13:36.750
2019-11-01-2,2019-11-01 20:13:36.750,2019-11-01 20:15:37.250
2019-11-01-2,2019-11-01 20:15:37.250,2019-11-01 20:17:34.500
2019-11-01-2,2019-11-01 20:17:34.500,2019-11-01 20:17:35.000
2019-11-01-2,2019-11-01 20:17:37.500,2019-11-01 20:17:47.500
2019-11-01-2,2019-11-01 20:17:48.500,2019-11-01 20:17:49.250
2019-11-01-2,2019-11-01 20:17:50.750,2019-11-01 20:17:59.750
2019-11-01-2,2019-11-01 20:34:04.000,2019-11-01 20:34:04.000
2019-11-01-2,2019-11-01 20:34:09.750,2019-11-01 20:34:20.000
2019-11-01-2,2019-11-01 20:34:22.250,2019-11-01 20:35:45.750
2019-11-01-2,2019-11-01 20:35:45.750,2019-11-01 20:37:31.250
2019-11-01-2,2019-11-01 20:37:31.250,2019-11-01 20:39:44.000
2019-11-01-2,2019-11-01 20:39:44.000,2019-11-01 20:41:43.500
2019-11-01-2,2019-11-01 20:59:09.500,2019-11-01 21:02:15.750
2019-11-01-2,2019-11-01 21:02:15.750,2019-11-01 21:04:09.750
2019-11-01-2,2019-11-01 21:04:09.750,2019-11-01 21:04:55.000
2019-11-01-2,2019-11-01 21:04:55.000,2019-11-01 21:08:16.500
2019-11-01-2,2019-11-01 21:08:16.500,2019-11-01 21:10:12.250
2019-11-01-2,2019-11-01 21:10:12.250,2019-11-01 21:12:05.000
2019-11-01-2,2019-11-01 21:12:05.000,2019-11-01 21:15:10.000
2019-11-01-2,2019-11-01 21:15:10.000,2019-11-01 21:17:17.000
2019-11-01-2,2019-11-01 21:17:17.000,2019-11-01 21:19:54.000
2019-11-01-2,2019-11-01 21:19:54.000,2019-11-01 21:22:44.000
2019-11-01-2,2019-11-01 21:22:44.000,2019-11-01 21:24:41.250
2019-11-01-2,2019-11-01 21:24:41.250,2019-11-01 21:27:33.250
2019-11-02-1,2019-11-02 09:18:47.000,2019-11-02 09:19:03.000
2019-11-02-1,2019-11-02 09:24:35.250,2019-11-02 09:28:38.250
2019-11-02-1,2019-11-02 09:37:45.250,2019-11-02 09:40:34.750
2019-11-02-1,2019-11-02 09:40:34.750,2019-11-02 09:42:49.250
2019-11-02-1,2019-11-02 09:42:49.250,2019-11-02 09:44:31.750
2019-11-02-1,2019-11-02 09:52:34.750,2019-11-02 09:53:42.250
2019-11-02-1,2019-11-02 09:55:43.500,2019-11-02 09:59:48.250
2019-11-02-1,2019-11-02 09:59:48.250,2019-11-02 10:00:33.500
2019-11-02-1,2019-11-02 10:00:33.500,2019-11-02 10:01:52.500
2019-11-02-1,2019-11-02 10:01:52.500,2019-11-02 10:04:17.500
2019-11-02-1,2019-11-02 10:14:34.750,2019-11-02 10:15:23.500
2019-11-02-1,2019-11-02 10:15:23.500,2019-11-02 10:16:32.000
2019-11-02-1,2019-11-02 10:16:32.000,2019-11-02 10:20:14.000
2019-11-02-1,2019-11-02 10:20:14.000,2019-11-02 10:21:40.250
2019-11-02-1,2019-11-02 10:21:40.250,2019-11-02 10:24:16.750
2019-11-02-1,2019-11-02 10:24:16.750,2019-11-02 10:24:48.500
2019-11-02-1,2019-11-02 10:24:48.500,2019-11-02 10:25:55.750
2019-11-02-1,2019-11-02 10:25:55.750,2019-11-02 10:28:23.000
2019-11-02-1,2019-11-02 10:28:23.000,2019-11-02 10:30:01.500
2019-11-02-1,2019-11-02 10:30:01.500,2019-11-02 10:36:36.000
2019-11-02-1,2019-11-02 10:36:36.000,2019-11-02 10:37:16.500
2019-11-02-1,2019-11-02 10:37:16.500,2019-11-02 10:44:28.000
2019-11-02-1,2019-11-02 12:14:07.000,2019-11-02 12:16:48.250
2019-11-02-1,2019-11-02 12:16:48.250,2019-11-02 12:18:05.250
2019-11-02-1,2019-11-02 12:20:33.750,2019-11-02 12:22:29.750
2019-11-02-1,2019-11-02 12:22:29.750,2019-11-02 12:24:15.000
2019-11-02-1,2019-11-02 12:24:15.000,2019-11-02 12:27:26.000
2019-11-02-1,2019-11-02 12:32:40.500,2019-11-02 12:33:37.000
2019-11-02-1,2019-11-02 12:33:37.000,2019-11-02 12:42:05.750
2019-11-02-1,2019-11-02 12:42:05.750,2019-11-02 12:44:10.750
2019-11-02-1,2019-11-02 12:44:10.750,2019-11-02 12:47:21.500
2019-11-02-1,2019-11-02 12:47:21.500,2019-11-02 12:49:06.000
2019-11-02-1,2019-11-02 12:49:06.000,2019-11-02 12:50:53.750
2019-11-02-1,2019-11-02 12:55:00.250,2019-11-02 12:55:30.750
2019-11-02-1,2019-11-02 12:55:30.750,2019-11-02 12:56:56.500
2019-11-02-1,2019-11-02 12:56:56.500,2019-11-02 12:59:03.000
2019-11-02-1,2019-11-02 12:59:03.000,2019-11-02 13:00:55.750
2019-11-02-1,2019-11-02 13:00:55.750,2019-11-02 13:02:16.500
2019-11-02-1,2019-11-02 13:02:16.500,2019-11-02 13:03:32.500
2019-11-02-1,2019-11-02 13:03:32.500,2019-11-02 13:05:52.250
2019-11-02-1,2019-11-02 13:05:52.250,2019-11-02 13:07:39.750
2019-11-02-1,2019-11-02 13:07:39.750,2019-11-02 13:09:03.500
2019-11-02-1,2019-11-02 13:09:03.500,2019-11-02 13:10:31.750
2019-11-02-1,2019-11-02 13:20:08.500,2019-11-02 13:21:07.250
2019-11-02-1,2019-11-02 13:21:07.250,2019-11-02 13:21:44.250
2019-11-02-1,2019-11-02 15:57:19.250,2019-11-02 15:57:20.000
2019-11-02-1,2019-11-02 15:57:52.250,2019-11-02 15:58:18.500
2019-11-02-1,2019-11-02 15:58:34.500,2019-11-02 15:59:30.500
2019-11-02-2,2019-11-02 16:03:36.000,2019-11-02 16:05:05.750
2019-11-02-2,2019-11-02 16:07:47.750,2019-11-02 16:11:43.250
2019-11-02-2,2019-11-02 16:11:43.250,2019-11-02 16:14:17.500
2019-11-02-2,2019-11-02 16:14:17.500,2019-11-02 16:15:41.750
2019-11-02-2,2019-11-02 16:15:41.750,2019-11-02 16:18:51.750
2019-11-02-2,2019-11-02 16:18:51.750,2019-11-02 16:23:40.000
2019-11-02-2,2019-11-02 16:23:40.000,2019-11-02 16:26:12.500
2019-11-02-2,2019-11-02 16:26:12.500,2019-11-02 16:28:32.250
2019-11-02-2,2019-11-02 16:28:32.250,2019-11-02 16:29:48.750
2019-11-02-2,2019-11-02 16:29:48.750,2019-11-02 16:32:19.250
2019-11-02-2,2019-11-02 16:32:19.250,2019-11-02 16:34:23.000
2019-11-02-2,2019-11-02 16:34:23.000,2019-11-02 16:35:55.000
2019-11-02-2,2019-11-02 16:35:55.000,2019-11-02 16:38:31.000
2019-11-02-2,2019-11-02 16:38:31.000,2019-11-02 16:41:33.000
2019-11-02-2,2019-11-02 16:41:33.000,2019-11-02 16:46:36.750
2019-11-02-2,2019-11-02 16:46:36.750,2019-11-02 16:48:47.500
2019-11-02-2,2019-11-02 16:48:47.500,2019-11-02 16:51:27.500
